Stock,Model,MAE,MSE,RMSE,MAPE,R2
AAPL,ANN,0.2948061507855696,0.09566968714446183,0.3093051683119146,21.86637004473366,-1.5259120700597544
AAPL,LSTM,0.16856001496430673,0.03776375538681304,0.1943289875103893,12.008342431913551,0.002945150240757477
AAPL,GRU,0.05108188431179875,0.004128659588052114,0.06425464643161702,3.72149578490376,0.8909933606150351
AAPL,Transformer,0.383048414156752,0.18996838067414296,0.4358536229907272,27.231986661851142,-4.015626579294205
ABT,ANN,0.16943198141696542,0.03277803650959213,0.18104705606441693,18.481197768287284,-0.3931605848536981
ABT,LSTM,0.03966838035332414,0.0021513591825306254,0.04638274660399733,4.380624182200625,0.9085610629517834
ABT,GRU,0.02548371245167858,0.0009214031156188115,0.030354622640033125,2.8218717064297105,0.9608377242771734
ABT,Transformer,0.20175576850557064,0.05051787101930791,0.22476180952134175,23.062402653202597,-1.1471544433183762
JPM,ANN,0.6090312298533016,0.3828868335737637,0.6187785012213689,26.07334629472511,-4.032193936882317
JPM,LSTM,0.8625175630271655,0.7991749493879303,0.8939658547103073,36.350323241440584,-9.503373274242945
JPM,GRU,0.2901759606377702,0.09934080267324175,0.31518376016736926,12.043544710625456,-0.30561341123003904
JPM,Transformer,1.5019856494942354,2.3291323450404144,1.5261495159519642,64.11320031990925,-29.61125282243707
XOM,ANN,0.2685407866991043,0.08167254821946103,0.2857840937131754,22.133830692810537,-0.3778575004682425
XOM,LSTM,0.11092626842736479,0.025161669555536878,0.1586243031680104,7.937906073197495,0.5755098147759409
XOM,GRU,0.06473915869340036,0.008452537238307753,0.09193768127545829,4.770749372899761,0.8574013902383133
XOM,Transformer,0.25166329996035486,0.11972753241630507,0.3460166649401515,18.146161081014288,-1.0198644728101178
WMT,ANN,0.5462693953575212,0.327620079505103,0.5723810614486673,19.617589004068307,-0.867136224998698
WMT,LSTM,1.188392953948915,1.5575519999926362,1.2480192306181168,42.10891274788155,-7.876628581185987
WMT,GRU,0.8624618189536228,0.8654608559613154,0.930301486595241,30.167149934553354,-3.932339061527462
WMT,Transformer,1.8540419209765793,3.608104218000758,1.8995010444853033,66.68457775654326,-19.56290963354974
