Hyperparameter,Value,MAE,MSE,RMSE,MAPE,R2
sequence_length,window_30,0.01576667142194472,0.00043007795147393725,0.020738320845091033,1.4393988684435053,0.8990959808817576
sequence_length,window_60,0.010476358068108368,0.0001988304209795418,0.014100724129616245,0.9414741518794241,0.9538516264450176
batch_size,16,0.011528988859607138,0.00023969844545649184,0.015482197694658592,1.0332524736395061,0.9443661923211795
batch_size,32,0.024060153593659553,0.0007607710169235083,0.027582077820996524,2.1198859204130636,0.8234256865431964
batch_size,64,0.018656258041101152,0.0005188387351503573,0.022778031854186993,1.6503807665711314,0.8795779657531538
dropout,0.1,0.02430949904693957,0.0008086744473349426,0.028437201819710437,2.1355067623764943,0.8123073406165464
dropout,0.2,0.013216324796459933,0.00029213972185581754,0.017092095303262778,1.1909825068548778,0.9321946161556531
dropout,0.3,0.017402780591573897,0.0004705726425532419,0.021692686383969182,1.54057166780962,0.8907804852682145
optimizer,adam,0.027272924684613183,0.001112633102155955,0.03335615538631446,2.396025521010075,0.7417587923670141
optimizer,rmsprop,0.009715432104391426,0.00016031707289513756,0.012661637844099695,0.8776914214916984,0.9627905421576943
final_combined,window60_batch64_drop0.1_adam,0.012380156147714849,0.00026283966947244407,0.016212330784697308,1.1243769844783522,0.9389951336816287
